,user_loc,fr_loc,scaled_sci
12176749,FI1D8,FI1B1,79345
12176750,FI1D8,FI1C1,53034
12176751,FI1D8,FI1C2,74543
12176752,FI1D8,FI1C3,77714
12176753,FI1D8,FI1C4,63985
12176754,FI1D8,FI1C5,71980
12176755,FI1D8,FI1D1,92786
12176756,FI1D8,FI1D2,312242
12176757,FI1D8,FI1D3,237017
12176758,FI1D8,FI1D5,142455
12176759,FI1D8,FI1D7,187006
12176760,FI1D8,FI1D8,9207171
12176761,FI1D8,FI1D9,343757
12184733,FI1D9,FI193,114741
12184734,FI1D9,FI194,107261
12184735,FI1D9,FI195,63326
12184736,FI1D9,FI196,52369
12184737,FI1D9,FI197,93497
12184738,FI1D9,FI1B1,79860
12184739,FI1D9,FI1C1,54872
12184740,FI1D9,FI1C2,62995
12184741,FI1D9,FI1C3,55502
12184742,FI1D9,FI1C4,43572
12184743,FI1D9,FI1C5,43944
12184744,FI1D9,FI1D1,53722
12184745,FI1D9,FI1D2,116855
12184746,FI1D9,FI1D3,72134
12184747,FI1D9,FI1D5,300807
12184748,FI1D9,FI1D7,467578
12184749,FI1D9,FI1D8,343757
12184750,FI1D9,FI1D9,1787333
