Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Pirkanmaa,Päijänne Tavastia,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa,Y-W
1.0571428571428572,-1.3142857142857143,3.2285714285714286,3.585714285714286,1.942857142857143,2.1,1.3571428571428572,4.885714285714286,3.9285714285714284,4.057142857142857,5.142857142857143,4.214285714285714,4.4714285714285715,0.9714285714285715,1.0571428571428572,4.542857142857143,4.1,6.357142857142857,2020-21
5.3,4.242857142857143,6.971428571428571,7.814285714285715,6.814285714285715,6.8999999999999995,6.585714285714286,8.342857142857143,8.128571428571428,7.085714285714286,10.82,8.514285714285714,9.785714285714286,5.071428571428571,5.8428571428571425,8.457142857142857,8.071428571428571,10.042857142857143,2020-22
7.085714285714286,9.771428571428572,10.928571428571429,9.414285714285715,9.87142857142857,8.885714285714286,10.785714285714286,10.1,10.1,8.77142857142857,9.514285714285714,9.357142857142858,9.657142857142857,9.37142857142857,7.485714285714286,9.657142857142857,7.785714285714286,10.857142857142858,2020-23
8.714285714285714,5.442857142857143,10.157142857142857,12.485714285714286,10.285714285714286,10.728571428571428,9.87142857142857,12.87142857142857,9.742857142857144,10.799999999999999,12.171428571428573,10.671428571428573,13.342857142857143,6.785714285714286,9.285714285714286,11.357142857142858,9.914285714285715,13.299999999999999,2020-24
12.114285714285714,10.857142857142858,12.6,15.285714285714286,10.5,11.271428571428572,10.885714285714286,14.157142857142857,13.37142857142857,13.457142857142857,15.22857142857143,14.5,15.114285714285714,12.12857142857143,11.62857142857143,14.414285714285715,13.6,16.142857142857142,2020-25
13.485714285714284,12.814285714285715,13.857142857142858,14.557142857142859,12.528571428571428,13.528571428571428,13.5,16.47142857142857,14.971428571428572,14.799999999999999,15.299999999999999,14.957142857142857,16.814285714285713,11.942857142857141,12.414285714285715,15.114285714285714,14.085714285714285,16.214285714285715,2020-26
10.285714285714286,9.671428571428573,10.700000000000001,11.942857142857141,8.457142857142857,11.785714285714286,9.585714285714285,12.071428571428571,11.442857142857141,11.242857142857144,11.385714285714286,11.257142857142856,12.685714285714285,9.885714285714286,11.485714285714286,13.585714285714285,11.457142857142857,14.214285714285714,2020-27
8.2,8.242857142857144,10.057142857142859,9.557142857142859,9.671428571428573,10.014285714285714,10.414285714285713,10.542857142857143,9.728571428571428,8.714285714285714,9.299999999999999,9.342857142857143,10.614285714285714,8.014285714285714,9.285714285714286,10.214285714285714,9.342857142857143,12.37142857142857,2020-28
10.242857142857144,10.0,12.142857142857142,12.285714285714286,11.9,11.057142857142859,12.942857142857141,13.257142857142858,12.314285714285715,11.5,12.457142857142857,13.242857142857144,14.785714285714286,10.328571428571427,9.757142857142856,13.200000000000001,11.114285714285714,13.842857142857143,2020-29
10.200000000000001,11.114285714285714,12.028571428571428,11.62857142857143,12.671428571428573,11.5,13.62857142857143,12.614285714285714,11.928571428571429,11.214285714285714,11.557142857142859,11.87142857142857,12.214285714285714,10.385714285714286,10.271428571428572,12.299999999999999,10.828571428571427,13.485714285714286,2020-30
11.328571428571427,11.571428571428571,12.442857142857141,12.057142857142859,10.814285714285715,12.485714285714286,12.042857142857143,13.214285714285714,13.457142857142857,12.257142857142856,12.842857142857143,12.914285714285715,12.642857142857142,12.1,10.571428571428571,13.728571428571428,12.257142857142856,14.457142857142857,2020-31
10.842857142857143,12.542857142857144,12.685714285714285,13.342857142857143,11.528571428571428,13.814285714285715,12.171428571428573,14.37142857142857,13.814285714285715,11.857142857142858,12.799999999999999,12.799999999999999,14.657142857142857,11.457142857142857,12.657142857142857,13.685714285714285,12.228571428571428,14.642857142857142,2020-32
8.157142857142857,9.157142857142857,11.757142857142856,11.114285714285714,9.771428571428572,10.471428571428572,10.785714285714286,12.185714285714285,11.328571428571427,10.942857142857141,10.571428571428571,11.657142857142857,12.228571428571428,8.528571428571428,9.585714285714285,12.114285714285714,10.542857142857143,13.157142857142857,2020-33
9.857142857142858,11.171428571428573,11.685714285714285,12.342857142857143,10.5,10.928571428571429,11.528571428571428,12.4,12.985714285714286,11.714285714285714,12.571428571428571,12.971428571428572,12.071428571428571,10.585714285714285,10.085714285714285,14.22857142857143,12.042857142857143,14.942857142857141,2020-34
4.942857142857143,4.5,5.371428571428572,8.942857142857143,4.757142857142857,6.914285714285714,4.914285714285714,9.442857142857141,7.857142857142857,6.071428571428571,8.8,7.428571428571429,11.071428571428571,4.571428571428571,5.857142857142857,8.3,7.242857142857143,10.5,2020-35
7.371428571428572,7.214285714285714,8.185714285714285,9.728571428571428,7.814285714285715,8.928571428571429,8.514285714285714,10.1,9.071428571428571,9.242857142857144,10.12857142857143,10.142857142857142,10.885714285714286,7.142857142857143,7.928571428571429,10.585714285714285,9.142857142857142,12.271428571428572,2020-36
5.928571428571429,6.1571428571428575,7.814285714285715,7.585714285714286,5.014285714285714,7.257142857142857,5.957142857142857,8.157142857142857,9.5,7.242857142857143,7.457142857142856,8.814285714285715,8.414285714285715,5.857142857142857,6.357142857142857,9.414285714285715,7.714285714285714,10.685714285714285,2020-37
3.685714285714286,4.628571428571428,4.728571428571429,6.285714285714286,2.757142857142857,5.214285714285714,2.757142857142857,5.942857142857143,7.514285714285713,5.228571428571429,5.914285714285714,6.671428571428572,7.257142857142857,3.385714285714286,4.671428571428572,6.6571428571428575,6.2,8.685714285714285,2020-38
5.914285714285714,6.457142857142857,7.828571428571428,10.414285714285715,4.257142857142857,7.3999999999999995,5.328571428571428,9.1,8.457142857142857,9.942857142857141,10.114285714285714,10.814285714285715,10.414285714285715,6.614285714285714,6.914285714285714,12.085714285714285,10.585714285714285,12.4,2020-39
7.314285714285715,8.514285714285714,7.228571428571429,8.928571428571429,6.285714285714286,6.614285714285714,7.1000000000000005,8.714285714285714,8.971428571428572,7.557142857142857,9.6,9.442857142857141,8.785714285714286,8.0,6.114285714285714,10.042857142857143,8.128571428571428,11.542857142857143,2020-40
7.114285714285714,6.971428571428571,7.8999999999999995,8.9,6.785714285714286,8.1,7.957142857142857,9.185714285714285,8.285714285714286,6.885714285714285,8.6,8.8,8.971428571428572,7.014285714285714,6.8428571428571425,9.942857142857141,7.1571428571428575,10.971428571428572,2020-41
-0.3285714285714286,-0.8999999999999998,0.942857142857143,0.8714285714285713,-1.1857142857142857,0.1571428571428571,-0.7142857142857143,1.8285714285714287,2.1142857142857143,-0.2285714285714286,2.1,0.4428571428571429,1.9714285714285715,-0.42857142857142866,-0.49999999999999994,1.3571428571428572,1.1285714285714286,2.957142857142857,2020-42
-1.7,-1.8,-1.1285714285714286,0.6285714285714287,-4.2,-0.9000000000000001,-3.2714285714285714,0.29999999999999993,0.37142857142857144,0.3,0.5142857142857141,1.9000000000000001,0.5142857142857143,-1.4285714285714286,-0.3999999999999999,2.857142857142857,0.757142857142857,3.685714285714286,2020-43
5.085714285714286,3.357142857142857,2.614285714285714,5.728571428571429,-0.9285714285714286,3.3000000000000003,0.02857142857142847,4.042857142857143,6.442857142857143,5.185714285714285,6.442857142857143,6.6000000000000005,4.942857142857143,5.228571428571429,5.114285714285714,7.685714285714285,5.828571428571428,8.142857142857142,2020-44
2.9,2.3285714285714287,2.814285714285714,3.1285714285714286,-0.2857142857142857,2.7285714285714286,-0.15714285714285708,3.5142857142857147,5.028571428571429,3.8857142857142857,2.857142857142857,4.571428571428571,3.914285714285714,3.057142857142857,2.857142857142857,3.871428571428571,3.642857142857143,4.971428571428571,2020-45
-0.15714285714285708,0.7714285714285715,0.7000000000000001,0.8571428571428571,-1.3142857142857143,-0.5714285714285714,-0.6428571428571429,0.29999999999999993,2.2714285714285714,1.4571428571428573,0.8142857142857143,3.1714285714285713,-0.5571428571428572,1.0,-0.0571428571428571,3.442857142857143,1.5571428571428572,3.4,2020-46
-1.0285714285714287,-0.7142857142857143,-0.6714285714285715,1.6999999999999997,-3.1142857142857143,-0.5428571428571428,-2.2714285714285714,-0.08571428571428572,1.3142857142857143,1.5571428571428572,1.4428571428571428,2.142857142857143,0.9714285714285714,-0.8571428571428571,0.028571428571428532,3.2857142857142856,1.3571428571428572,3.9714285714285715,2020-47
-1.7571428571428573,-3.2714285714285714,-4.5285714285714285,-0.8857142857142858,-8.214285714285714,-2.742857142857143,-6.8999999999999995,-1.5999999999999999,-1.1428571428571428,-1.4142857142857144,-0.9142857142857144,-0.21428571428571425,-0.5,-1.9714285714285715,-1.0285714285714287,0.6714285714285715,-1.6428571428571428,0.7000000000000001,2020-48
-1.3428571428571427,-1.2571428571428573,-1.7714285714285716,-0.9857142857142858,-3.5714285714285716,-1.5714285714285714,-3.3,-0.8285714285714286,-0.7428571428571428,0.18571428571428572,-0.32857142857142857,0.5285714285714286,-1.157142857142857,-1.8285714285714285,-0.7428571428571429,1.2857142857142858,0.0714285714285714,1.4285714285714286,2020-49
-5.328571428571429,-4.1,-4.442857142857143,-5.242857142857143,-6.1571428571428575,-7.385714285714286,-5.128571428571428,-4.5,-2.6571428571428575,-4.2,-4.285714285714286,-2.6999999999999997,-6.871428571428572,-4.1,-5.628571428571428,-2.0714285714285716,-4.414285714285715,-1.7142857142857142,2020-50
-1.6142857142857143,-0.9857142857142858,-4.314285714285714,-0.6857142857142858,-8.714285714285714,-4.728571428571429,-8.014285714285714,-3.085714285714286,0.757142857142857,0.39999999999999997,-0.4714285714285715,1.5857142857142856,-1.2714285714285716,0.1857142857142857,-1.3285714285714287,2.585714285714286,-0.3714285714285714,1.4428571428571428,2020-51
-2.557142857142857,-2.9285714285714284,-4.4714285714285715,-1.842857142857143,-8.77142857142857,-3.842857142857143,-7.571428571428571,-3.042857142857143,-1.2571428571428573,-0.5714285714285714,-1.1428571428571428,-0.8142857142857143,-2.5,-2.0571428571428574,-2.5714285714285716,-0.5285714285714286,-0.9142857142857143,0.18571428571428578,2020-52
-3.3857142857142857,-4.3428571428571425,-7.2,-1.6428571428571428,-10.142857142857142,-3.3000000000000003,-9.728571428571428,-3.242857142857143,-1.6857142857142857,-2.0,-1.6285714285714286,-1.342857142857143,-1.3857142857142857,-4.057142857142857,-1.9714285714285715,-0.5142857142857143,-1.9714285714285715,-0.8285714285714286,2020-53
-10.714285714285714,-12.700000000000001,-13.828571428571427,-7.514285714285714,-15.842857142857143,-16.285714285714285,-15.342857142857143,-13.257142857142856,-11.028571428571428,-6.814285714285714,-6.914285714285714,-6.442857142857143,-7.5,-13.214285714285714,-9.642857142857142,-5.1571428571428575,-7.442857142857143,-4.742857142857143,2021-1
-18.385714285714283,-13.771428571428572,-17.1,-18.385714285714283,-19.400000000000002,-21.714285714285715,-20.928571428571427,-18.257142857142856,-10.528571428571428,-14.771428571428572,-16.814285714285713,-12.4,-17.057142857142857,-13.114285714285714,-19.52857142857143,-13.299999999999999,-16.642857142857142,-14.057142857142859,2021-2
-5.428571428571429,-5.714285714285714,-8.585714285714285,-4.8,-15.142857142857142,-7.785714285714286,-14.585714285714287,-6.485714285714286,-4.214285714285714,-3.1999999999999997,-4.242857142857143,-2.085714285714286,-5.685714285714285,-5.1000000000000005,-5.014285714285714,-1.5857142857142859,-3.2142857142857144,-1.7857142857142858,2021-3
-7.385714285714286,-9.528571428571428,-11.0,-4.257142857142857,-12.342857142857143,-3.9714285714285715,-11.271428571428572,-5.114285714285714,-7.671428571428572,-8.22857142857143,-5.371428571428572,-8.214285714285714,-3.3714285714285714,-8.957142857142857,-4.0285714285714285,-6.885714285714286,-7.528571428571429,-5.128571428571429,2021-4
-17.771428571428572,-18.74285714285714,-19.014285714285712,-16.45714285714286,-13.828571428571427,-17.985714285714288,-14.214285714285714,-18.842857142857145,-15.242857142857144,-16.914285714285715,-13.742857142857144,-14.842857142857143,-14.757142857142856,-20.557142857142857,-15.757142857142858,-14.557142857142859,-15.942857142857141,-13.200000000000001,2021-5
-18.74285714285714,-18.842857142857145,-20.771428571428572,-15.614285714285714,-18.314285714285713,-19.585714285714285,-22.285714285714285,-18.0,-15.271428571428572,-16.02857142857143,-15.171428571428573,-14.714285714285714,-15.271428571428572,-18.62857142857143,-16.728571428571428,-14.585714285714285,-18.12857142857143,-13.457142857142857,2021-6
-16.728571428571428,-14.757142857142856,-17.057142857142857,-16.057142857142857,-18.914285714285715,-21.428571428571427,-19.357142857142858,-18.057142857142857,-11.357142857142858,-13.214285714285714,-14.057142857142859,-9.314285714285715,-15.542857142857143,-16.02857142857143,-17.45714285714286,-8.485714285714286,-14.014285714285714,-10.085714285714285,2021-7
-4.585714285714286,-3.757142857142857,-7.3428571428571425,-3.7285714285714286,-8.7,-7.857142857142857,-7.814285714285715,-6.3428571428571425,-1.8142857142857143,-2.0142857142857147,-3.2285714285714286,-0.8571428571428571,-4.742857142857142,-3.271428571428572,-5.442857142857143,-0.24285714285714288,-2.1142857142857143,-0.757142857142857,2021-8
-10.314285714285715,-8.542857142857143,-10.200000000000001,-7.957142857142857,-10.071428571428571,-10.87142857142857,-11.757142857142856,-9.242857142857144,-5.142857142857143,-6.942857142857143,-7.142857142857143,-4.571428571428571,-7.271428571428571,-10.528571428571428,-10.042857142857144,-4.728571428571429,-6.328571428571429,-4.242857142857143,2021-9
-12.957142857142857,-10.27142857142857,-12.542857142857143,-9.257142857142856,-12.828571428571427,-14.357142857142858,-12.857142857142858,-13.071428571428571,-7.8428571428571425,-8.528571428571428,-8.285714285714286,-6.171428571428572,-9.814285714285715,-10.27142857142857,-13.185714285714285,-5.128571428571428,-8.714285714285714,-5.057142857142857,2021-10
-8.128571428571428,-8.4,-10.257142857142856,-5.3,-10.114285714285714,-9.1,-11.357142857142858,-7.1571428571428575,-4.942857142857143,-5.328571428571428,-5.485714285714286,-3.757142857142857,-4.971428571428571,-7.471428571428571,-6.671428571428572,-3.8000000000000003,-4.8999999999999995,-4.071428571428571,2021-11
-2.942857142857143,-1.5,-1.0142857142857145,-2.0142857142857147,-2.5714285714285716,-3.7,-1.7714285714285716,-1.442857142857143,0.0142857142857143,-0.17142857142857146,-1.842857142857143,1.0142857142857142,-1.7428571428571427,-2.028571428571429,-2.885714285714286,0.3428571428571428,-0.9285714285714285,0.4428571428571429,2021-12
-0.4428571428571429,0.5142857142857143,-0.37142857142857144,0.04285714285714285,-1.8428571428571427,-0.7142857142857143,-1.7142857142857142,0.2857142857142857,1.1285714285714286,0.32857142857142857,0.6142857142857142,0.8857142857142858,0.6,0.29999999999999993,-0.07142857142857147,0.5285714285714286,0.5,1.4857142857142858,2021-13
-2.414285714285714,-3.4,-2.357142857142857,-1.0142857142857142,-4.257142857142857,-2.0714285714285716,-3.7142857142857144,-0.9142857142857144,-0.8571428571428571,-1.0857142857142856,-0.15714285714285708,-1.2714285714285711,-1.0571428571428572,-2.3428571428571425,-1.5142857142857142,-0.27142857142857146,-0.8714285714285713,1.6142857142857143,2021-14
-2.585714285714286,-3.2285714285714286,-1.9714285714285715,0.8714285714285713,-2.4857142857142853,-2.0285714285714285,-2.6571428571428575,-1.0,-1.042857142857143,-2.414285714285714,1.6285714285714286,-0.7714285714285715,1.6285714285714283,-1.8714285714285714,-2.5285714285714285,1.0571428571428572,-1.2857142857142858,3.5714285714285716,2021-15
