province,Y-W,newcases,newcases_tminus1,newcases_tminus2,newcases_tminus3,newcases_tminus4,newcases_tplus1,newcases_tplus2,newcases_tplus4,spc_tminus1,spc_tminus2,spc_tminus3,spc_tminus4,temp_min_tminus1,temp_min_tminus2,temp_min_tminus3,temp_min_tminus4,temp_max_tminus1,temp_max_tminus2,temp_max_tminus3,temp_max_tminus4,retail_tminus1,retail_tminus2,retail_tminus3,retail_tminus4,grocery_tminus1,grocery_tminus2,grocery_tminus3,grocery_tminus4,parks_tminus1,parks_tminus2,parks_tminus3,parks_tminus4,transit_tminus1,transit_tminus2,transit_tminus3,transit_tminus4,workplaces_tminus1,workplaces_tminus2,workplaces_tminus3,workplaces_tminus4,residential_tminus1,residential_tminus2,residential_tminus3,residential_tminus4,2019employment_rate,2019intermunicipal_migration_rate,2019annual_contrib_margin,2019share_age_64,2019number_workplaces,Subdivision Name (en)
Central Finland,2021-03,1.229926733062494,0.7421492016067898,0.6883358506105562,1.229926733062494,0.9178660611845652,2.125009990985406,1.8435320453555695,0.9178660611845652,0.9939087519326504,0.948788787402976,0.8951275137435523,0.7429242034089203,-20.928571428571427,-15.342857142857143,-9.728571428571428,-7.571428571428571,-12.3,-9.228571428571428,-4.571428571428571,-2.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2021-03,1.5444154441922984,1.1855724805693777,1.6079036795690655,1.4766215501060314,0.7445860310195446,1.4624932698003847,0.9777072926547378,0.7149816050636023,0.9501826888401506,0.9902349212679225,1.0160319182980453,0.8831940818216258,-18.257142857142856,-13.257142857142856,-3.242857142857143,-3.042857142857143,-11.1,-8.328571428571427,-0.2714285714285714,0.0571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2021-03,1.0133207174995804,0.48405900273776076,0.9925586542049405,0.8817438781166304,0.48405900273776076,1.1295808994937055,0.8337344668188448,1.0731394115622344,1.055399585428603,1.124624832299408,1.0498648614842572,0.7812890021557098,-10.528571428571428,-11.028571428571428,-1.6857142857142855,-1.2571428571428571,-3.6,-4.914285714285714,0.4428571428571428,2.2,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2021-03,1.069041730321975,1.2266711670224097,0.7187773608567053,0.6999595102224171,0.8163853092623029,1.322855355404108,1.0624534488747825,1.0288447926808553,0.9592849879724934,1.029551879574395,1.013346275201242,0.8473318673286065,-14.771428571428572,-6.814285714285714,-2.0,-0.5714285714285714,-6.914285714285714,-3.4857142857142853,0.157142857142857,1.8142857142857145,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2021-03,1.4039851570706614,1.3010766398656406,1.3611713765497915,1.186350171594292,0.553545620281256,1.9087484305588338,2.0646064211803075,1.8020579883235006,0.8133730675107483,0.7361081151431133,0.740508476725093,0.6778547479841356,-16.814285714285713,-6.914285714285714,-1.6285714285714286,-1.1428571428571428,-8.1,-3.157142857142857,0.3,1.042857142857143,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2021-03,0.9032289167220481,0.8523968315152459,0.35630125837029764,1.1246179306298927,0.43847050455851927,0.31253768402089904,0.35630125837029764,0.9277077260794285,1.0148857891754364,0.9748712099946883,0.8961740833342758,0.740627968639338,-12.4,-6.442857142857143,-1.342857142857143,-0.8142857142857143,-4.971428571428571,-2.4857142857142853,0.5142857142857143,2.628571428571429,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2021-03,1.4497875985653632,1.1852376302001206,1.4832387030611183,1.3294379580700628,0.6514140710545483,1.0594666437810751,0.9535317142865182,0.8861227017305837,0.8438594530032113,0.9076104274073432,0.7962279562733946,0.6172088614561716,-17.057142857142857,-7.5,-1.3857142857142857,-2.5,-10.771428571428572,-5.1571428571428575,0.5142857142857143,0.0285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2021-03,1.6309083796373554,1.3915220480658417,0.6966353399479238,0.5216184788811041,0.39430606365010795,1.1553376036792167,0.5216184788811041,0.24838764502345526,0.8984797161797063,0.8947075461374785,0.933499211954276,0.7084769696515008,-13.114285714285714,-13.214285714285714,-4.057142857142857,-2.0571428571428574,-5.671428571428572,-6.7,-0.9857142857142858,1.3571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2021-03,0.8793502266008101,0.8589734194759066,1.2182566832435269,1.063092465080419,1.063092465080419,0.975435573884425,0.975435573884425,0.9381018567613227,1.0337421644525076,1.10692718466519,1.0839560315094108,0.8739497727002267,-19.52857142857143,-9.642857142857142,-1.9714285714285715,-2.571428571428572,-10.3,-5.957142857142857,-0.0714285714285713,0.3999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2021-03,0.7486402445884563,0.41253332145594024,0.2813767227669967,0.5007178920311345,0.4428005101128709,1.227865283125328,0.9649907010366154,2.6715469272842474,1.1484372536031884,1.130602642514028,1.1445771157766162,1.0478252521536875,-13.3,-5.1571428571428575,-0.5142857142857143,-0.5285714285714286,-5.357142857142857,-1.3285714285714287,1.9714285714285715,3.2142857142857144,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2021-03,2.1372926354469315,1.7953366340469241,1.9164446693912942,1.8749840347751727,1.8650271090949335,2.2003894721914468,2.3169236410209084,2.5751911028516523,0.9625493411376526,1.01575545291751,0.9977438230973849,0.7881458985731741,-16.642857142857142,-7.442857142857143,-1.9714285714285715,-0.9142857142857144,-7.285714285714286,-3.3285714285714287,0.0142857142857143,1.4142857142857144,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2021-03,1.8267930299462303,1.6195189788245685,1.6195189788245685,1.7927923732800626,1.8031145021676906,1.934444058411504,1.7173906868319617,2.1226813685467203,0.9614129546316118,1.0099719435293248,0.962089485623748,0.795810447547287,-14.05714285714286,-4.742857142857143,-0.8285714285714286,0.1857142857142857,-6.114285714285714,-0.9857142857142857,2.0,2.9428571428571426,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2021-04,0.43923778741861264,0.665503601749357,0.43923778741861264,0.743387888806429,0.9150876857996634,0.5359683862938617,0.743387888806429,1.7452529602164728,1.1861914493508985,1.0199642268585378,1.0448410109228985,1.0592054535729882,-5.428571428571429,-18.385714285714283,-10.714285714285714,-3.3857142857142857,-1.6,-9.342857142857143,-7.057142857142857,-1.042857142857143,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2021-04,0.6875368846780402,0.0,0.6875368846780402,0.0,0.0,0.0,0.8333728740108911,0.5769729203876538,1.1865834535598403,0.9993407815243012,1.0218208939472286,0.987277767028122,-5.714285714285714,-13.771428571428572,-12.7,-4.342857142857143,-1.757142857142857,-5.385714285714286,-6.614285714285714,-1.2571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2021-04,1.3515887668841224,0.3730389413790142,0.6037283405102503,0.0,0.3197503974169034,1.1100908215067213,1.0326731599024859,1.5930146570167207,1.2231227282744666,1.0133678413493377,1.0011236398744223,1.043021375414874,-8.585714285714285,-17.1,-13.828571428571427,-7.2,-4.457142857142857,-10.142857142857142,-8.985714285714286,-3.0142857142857147,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2021-04,0.6814695270847861,0.0,0.8735505484294461,0.9837553095240309,0.0,0.8135315778230269,0.0,0.0,1.2433670898907752,1.0238113781004616,0.9954992904912684,1.0154231524390305,-4.8,-18.385714285714283,-7.514285714285714,-1.6428571428571428,-0.7857142857142857,-9.957142857142856,-3.9,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2021-04,1.2587040520972785,0.9488984237819623,0.8025017144570651,1.3231825250099671,0.9024407703079355,1.0358006576312009,0.8783766797485733,1.606728135036914,1.2529793962694311,1.094632805716517,1.0945645135530289,1.1103607494250325,-15.142857142857142,-19.4,-15.842857142857143,-10.142857142857142,-11.614285714285714,-11.757142857142858,-10.257142857142856,-5.371428571428572,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2021-04,0.0,0.551251705364027,0.0,0.0,0.0,0.0,0.0,0.7777999703806804,1.1928294074805843,1.083068940823504,1.102723902342082,1.030323893792812,-7.785714285714286,-21.714285714285715,-16.285714285714285,-3.3000000000000003,-3.3285714285714287,-13.828571428571427,-10.357142857142858,-0.3142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2021-04,2.125009990985406,1.229926733062494,0.7421492016067898,0.6883358506105562,1.229926733062494,1.8435320453555695,1.29227700999076,1.229926733062494,1.105917961929046,0.9939087519326504,0.948788787402976,0.8951275137435523,-14.585714285714287,-20.928571428571427,-15.342857142857143,-9.728571428571428,-10.6,-12.3,-9.228571428571428,-4.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2021-04,1.4624932698003847,1.5444154441922984,1.1855724805693777,1.6079036795690655,1.4766215501060314,0.9777072926547378,0.7445860310195446,0.9543314748814319,1.102635068173812,0.9501826888401506,0.9902349212679225,1.0160319182980453,-6.485714285714286,-18.257142857142856,-13.257142857142856,-3.242857142857143,-2.2142857142857144,-11.1,-8.328571428571427,-0.2714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2021-04,1.1295808994937055,1.0133207174995804,0.48405900273776076,0.9925586542049405,0.8817438781166304,0.8337344668188448,0.8817438781166304,0.8337344668188448,1.2081305459591725,1.055399585428603,1.124624832299408,1.0498648614842572,-4.214285714285714,-10.528571428571428,-11.028571428571428,-1.6857142857142855,-0.8714285714285713,-3.6,-4.914285714285714,0.4428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2021-04,1.322855355404108,1.069041730321975,1.2266711670224097,0.7187773608567053,0.6999595102224171,1.0624534488747825,0.578948118956971,1.2153897898316823,1.146937488735699,0.9592849879724934,1.029551879574395,1.013346275201242,-3.2,-14.771428571428572,-6.814285714285714,-2.0,0.1285714285714286,-6.914285714285714,-3.4857142857142853,0.157142857142857,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2021-04,1.9087484305588338,1.4039851570706614,1.3010766398656406,1.3611713765497915,1.186350171594292,2.0646064211803075,2.0789352024729593,1.7638056787919922,0.94406602198475,0.8133730675107483,0.7361081151431133,0.740508476725093,-4.242857142857143,-16.814285714285713,-6.914285714285714,-1.6285714285714286,-0.0428571428571428,-8.1,-3.157142857142857,0.3,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2021-04,0.31253768402089904,0.9032289167220481,0.8523968315152459,0.35630125837029764,1.1246179306298927,0.35630125837029764,0.5143976316462852,0.6822742170051629,1.153042900059355,1.0148857891754364,0.9748712099946883,0.8961740833342758,-2.085714285714286,-12.4,-6.442857142857143,-1.342857142857143,0.6571428571428573,-4.971428571428571,-2.4857142857142853,0.5142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2021-04,1.0594666437810751,1.4497875985653632,1.1852376302001206,1.4832387030611183,1.3294379580700628,0.9535317142865182,0.7811860281354115,1.249599322515149,0.994830678537533,0.8438594530032113,0.9076104274073432,0.7962279562733946,-5.685714285714285,-17.057142857142857,-7.5,-1.3857142857142857,-1.457142857142857,-10.771428571428572,-5.1571428571428575,0.5142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2021-04,1.1553376036792167,1.6309083796373554,1.3915220480658417,0.6966353399479238,0.5216184788811041,0.5216184788811041,0.21646307860037975,0.5452454387999126,0.9768400468054484,0.8984797161797063,0.8947075461374785,0.933499211954276,-5.1000000000000005,-13.114285714285714,-13.214285714285714,-4.057142857142857,-1.2428571428571429,-5.671428571428572,-6.7,-0.9857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2021-04,0.975435573884425,0.8793502266008101,0.8589734194759066,1.2182566832435269,1.063092465080419,0.975435573884425,0.993592438942585,1.58674579058981,1.2285836814114477,1.0337421644525076,1.10692718466519,1.0839560315094108,-5.014285714285714,-19.52857142857143,-9.642857142857142,-1.9714285714285715,-1.0142857142857142,-10.3,-5.957142857142857,-0.0714285714285713,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2021-04,1.227865283125328,0.7486402445884563,0.41253332145594024,0.2813767227669967,0.5007178920311345,0.9649907010366154,1.67095212640917,1.8683768153134594,1.2767159588291208,1.1484372536031884,1.130602642514028,1.1445771157766162,-1.585714285714286,-13.3,-5.1571428571428575,-0.5142857142857143,1.4857142857142858,-5.357142857142857,-1.3285714285714287,1.9714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2021-04,2.2003894721914468,2.1372926354469315,1.7953366340469241,1.9164446693912942,1.8749840347751727,2.3169236410209084,2.3521892731779337,2.756672529655279,1.1090317350879066,0.9625493411376526,1.01575545291751,0.9977438230973849,-3.2142857142857144,-16.642857142857142,-7.442857142857143,-1.9714285714285715,0.0142857142857143,-7.285714285714286,-3.3285714285714287,0.0142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2021-04,1.934444058411504,1.8267930299462303,1.6195189788245685,1.6195189788245685,1.7927923732800626,1.7173906868319617,1.594532284945252,2.199248089589352,1.1431118419940791,0.9614129546316118,1.0099719435293248,0.962089485623748,-1.7857142857142858,-14.05714285714286,-4.742857142857143,-0.8285714285714286,1.4571428571428573,-6.114285714285714,-0.9857142857142857,2.0,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2021-05,0.5359683862938617,0.43923778741861264,0.665503601749357,0.43923778741861264,0.743387888806429,0.743387888806429,1.717354074244979,2.0611066834463854,1.3783887634318306,1.1861914493508985,1.0199642268585378,1.0448410109228985,-7.385714285714286,-5.428571428571429,-18.385714285714283,-10.714285714285714,-4.471428571428572,-1.6,-9.342857142857143,-7.057142857142857,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2021-05,0.0,0.6875368846780402,0.0,0.6875368846780402,0.0,0.8333728740108911,0.8776131966999335,0.7870843841046561,1.4559314370518397,1.1865834535598403,0.9993407815243012,1.0218208939472286,-9.528571428571428,-5.714285714285714,-13.771428571428572,-12.7,-4.0,-1.757142857142857,-5.385714285714286,-6.614285714285714,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2021-05,1.1100908215067213,1.3515887668841224,0.3730389413790142,0.6037283405102503,0.0,1.0326731599024859,1.9816379014575152,1.1819432565455685,1.277871521172384,1.2231227282744666,1.0133678413493377,1.0011236398744223,-11.0,-8.585714285714285,-17.1,-13.828571428571427,-5.814285714285715,-4.457142857142857,-10.142857142857142,-8.985714285714286,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2021-05,0.8135315778230269,0.6814695270847861,0.0,0.8735505484294461,0.9837553095240309,0.0,0.0,0.0,1.2441237514892405,1.2433670898907752,1.0238113781004616,0.9954992904912684,-4.257142857142857,-4.8,-18.385714285714283,-7.514285714285714,-1.5285714285714285,-0.7857142857142857,-9.957142857142856,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2021-05,1.0358006576312009,1.2587040520972785,0.9488984237819623,0.8025017144570651,1.3231825250099671,0.8783766797485733,1.2587040520972785,1.507952777193681,1.4253841813250356,1.2529793962694311,1.094632805716517,1.0945645135530289,-12.342857142857143,-15.142857142857142,-19.4,-15.842857142857143,-8.242857142857144,-11.614285714285714,-11.757142857142858,-10.257142857142856,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2021-05,0.0,0.0,0.551251705364027,0.0,0.0,0.0,0.6326052905097063,0.8431878617604739,1.4753807981948832,1.1928294074805843,1.083068940823504,1.102723902342082,-3.971428571428572,-7.785714285714286,-21.714285714285715,-16.285714285714285,-1.5142857142857142,-3.3285714285714287,-13.828571428571427,-10.357142857142858,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2021-05,1.8435320453555695,2.125009990985406,1.229926733062494,0.7421492016067898,0.6883358506105562,1.29227700999076,0.9178660611845652,1.1165058727664632,1.203152804779203,1.105917961929046,0.9939087519326504,0.948788787402976,-11.271428571428572,-14.585714285714287,-20.928571428571427,-15.342857142857143,-7.1571428571428575,-10.6,-12.3,-9.228571428571428,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2021-05,0.9777072926547378,1.4624932698003847,1.5444154441922984,1.1855724805693777,1.6079036795690655,0.7445860310195446,0.7149816050636023,0.2678129859293255,1.2813091032343418,1.102635068173812,0.9501826888401506,0.9902349212679225,-5.114285714285714,-6.485714285714286,-18.257142857142856,-13.257142857142856,-1.8714285714285717,-2.2142857142857144,-11.1,-8.328571428571427,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2021-05,0.8337344668188448,1.1295808994937055,1.0133207174995804,0.48405900273776076,0.9925586542049405,0.8817438781166304,1.0731394115622344,0.6741036118921504,1.2871923422521023,1.2081305459591725,1.055399585428603,1.124624832299408,-7.671428571428572,-4.214285714285714,-10.528571428571428,-11.028571428571428,-4.4,-0.8714285714285713,-3.6,-4.914285714285714,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2021-05,1.0624534488747825,1.322855355404108,1.069041730321975,1.2266711670224097,0.7187773608567053,0.578948118956971,1.0288447926808553,1.573846845369313,1.3846586246041543,1.146937488735699,0.9592849879724934,1.029551879574395,-8.22857142857143,-3.2,-14.771428571428572,-6.814285714285714,-4.228571428571429,0.1285714285714286,-6.914285714285714,-3.4857142857142853,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2021-05,2.0646064211803075,1.9087484305588338,1.4039851570706614,1.3010766398656406,1.3611713765497915,2.0789352024729593,1.8020579883235006,1.4450409273634692,1.0678224920002546,0.94406602198475,0.8133730675107483,0.7361081151431133,-5.371428571428572,-4.242857142857143,-16.814285714285713,-6.914285714285714,-2.857142857142857,-0.0428571428571428,-8.1,-3.157142857142857,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2021-05,0.35630125837029764,0.31253768402089904,0.9032289167220481,0.8523968315152459,0.35630125837029764,0.5143976316462852,0.9277077260794285,0.0,1.304352518580368,1.153042900059355,1.0148857891754364,0.9748712099946883,-8.214285714285714,-2.085714285714286,-12.4,-6.442857142857143,-3.742857142857143,0.6571428571428573,-4.971428571428571,-2.4857142857142853,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2021-05,0.9535317142865182,1.0594666437810751,1.4497875985653632,1.1852376302001206,1.4832387030611183,0.7811860281354115,0.8861227017305837,1.228602351445192,1.1857564186754563,0.994830678537533,0.8438594530032113,0.9076104274073432,-3.3714285714285714,-5.685714285714285,-17.057142857142857,-7.5,-0.7714285714285715,-1.457142857142857,-10.771428571428572,-5.1571428571428575,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2021-05,0.5216184788811041,1.1553376036792167,1.6309083796373554,1.3915220480658417,0.6966353399479238,0.21646307860037975,0.24838764502345526,0.9751108617508146,1.2734215504735396,0.9768400468054484,0.8984797161797063,0.8947075461374785,-8.957142857142857,-5.1000000000000005,-13.114285714285714,-13.214285714285714,-4.071428571428571,-1.2428571428571429,-5.671428571428572,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2021-05,0.975435573884425,0.975435573884425,0.8793502266008101,0.8589734194759066,1.2182566832435269,0.993592438942585,0.9381018567613227,1.7083030944907192,1.4188868603723688,1.2285836814114477,1.0337421644525076,1.10692718466519,-4.0285714285714285,-5.014285714285714,-19.52857142857143,-9.642857142857142,-1.6,-1.0142857142857142,-10.3,-5.957142857142857,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2021-05,0.9649907010366154,1.227865283125328,0.7486402445884563,0.41253332145594024,0.2813767227669967,1.67095212640917,2.6715469272842474,2.092177159268151,1.4657846985323777,1.2767159588291208,1.1484372536031884,1.130602642514028,-6.885714285714286,-1.585714285714286,-13.3,-5.1571428571428575,-2.314285714285714,1.4857142857142858,-5.357142857142857,-1.3285714285714287,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2021-05,2.3169236410209084,2.2003894721914468,2.1372926354469315,1.7953366340469241,1.9164446693912942,2.3521892731779337,2.5751911028516523,2.852278733181008,1.3039692773211673,1.1090317350879066,0.9625493411376526,1.01575545291751,-7.528571428571429,-3.2142857142857144,-16.642857142857142,-7.442857142857143,-4.171428571428572,0.0142857142857143,-7.285714285714286,-3.3285714285714287,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2021-05,1.7173906868319617,1.934444058411504,1.8267930299462303,1.6195189788245685,1.6195189788245685,1.594532284945252,2.1226813685467203,2.5096239358894312,1.3765495783258808,1.1431118419940791,0.9614129546316118,1.0099719435293248,-5.128571428571429,-1.7857142857142858,-14.05714285714286,-4.742857142857143,-1.7,1.4571428571428573,-6.114285714285714,-0.9857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2021-06,0.743387888806429,0.5359683862938617,0.43923778741861264,0.665503601749357,0.43923778741861264,1.717354074244979,1.7452529602164728,2.0809698679191544,1.1756036958088634,1.3783887634318306,1.1861914493508985,1.0199642268585378,-17.771428571428572,-7.385714285714286,-5.428571428571429,-18.385714285714283,-10.642857142857142,-4.471428571428572,-1.6,-9.342857142857143,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2021-06,0.8333728740108911,0.0,0.6875368846780402,0.0,0.6875368846780402,0.8776131966999335,0.5769729203876538,0.7631110437483835,1.3869652624215711,1.4559314370518397,1.1865834535598403,0.9993407815243012,-18.74285714285714,-9.528571428571428,-5.714285714285714,-13.771428571428572,-8.214285714285714,-4.0,-1.757142857142857,-5.385714285714286,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2021-06,1.0326731599024859,1.1100908215067213,1.3515887668841224,0.3730389413790142,0.6037283405102503,1.9816379014575152,1.5930146570167207,1.1819432565455685,1.0887512399171806,1.277871521172384,1.2231227282744666,1.0133678413493377,-19.014285714285712,-11.0,-8.585714285714285,-17.1,-10.3,-5.814285714285715,-4.457142857142857,-10.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2021-06,0.0,0.8135315778230269,0.6814695270847861,0.0,0.8735505484294461,0.0,0.0,0.0,1.045896995596398,1.2441237514892405,1.2433670898907752,1.0238113781004616,-16.45714285714286,-4.257142857142857,-4.8,-18.385714285714283,-9.328571428571427,-1.5285714285714285,-0.7857142857142857,-9.957142857142856,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2021-06,0.8783766797485733,1.0358006576312009,1.2587040520972785,0.9488984237819623,0.8025017144570651,1.2587040520972785,1.606728135036914,2.1474000344283355,1.2875487804765422,1.4253841813250356,1.2529793962694311,1.094632805716517,-13.828571428571427,-12.342857142857143,-15.142857142857142,-19.4,-8.72857142857143,-8.242857142857144,-11.614285714285714,-11.757142857142858,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2021-06,0.0,0.0,0.0,0.551251705364027,0.0,0.6326052905097063,0.7777999703806804,0.0,1.406216230324456,1.4753807981948832,1.1928294074805843,1.083068940823504,-17.985714285714288,-3.971428571428572,-7.785714285714286,-21.714285714285715,-10.4,-1.5142857142857142,-3.3285714285714287,-13.828571428571427,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2021-06,1.29227700999076,1.8435320453555695,2.125009990985406,1.229926733062494,0.7421492016067898,0.9178660611845652,1.229926733062494,1.379068657423181,1.0388041622627333,1.203152804779203,1.105917961929046,0.9939087519326504,-14.214285714285714,-11.271428571428572,-14.585714285714287,-20.928571428571427,-8.257142857142856,-7.1571428571428575,-10.6,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2021-06,0.7445860310195446,0.9777072926547378,1.4624932698003847,1.5444154441922984,1.1855724805693777,0.7149816050636023,0.9543314748814319,1.3090092127286999,1.1789458713013636,1.2813091032343418,1.102635068173812,0.9501826888401506,-18.842857142857145,-5.114285714285714,-6.485714285714286,-18.257142857142856,-11.1,-1.8714285714285717,-2.2142857142857144,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2021-06,0.8817438781166304,0.8337344668188448,1.1295808994937055,1.0133207174995804,0.48405900273776076,1.0731394115622344,0.8337344668188448,0.7301933407821827,1.1553235633898735,1.2871923422521023,1.2081305459591725,1.055399585428603,-15.242857142857144,-7.671428571428572,-4.214285714285714,-10.528571428571428,-6.014285714285714,-4.4,-0.8714285714285713,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
