South Karelia,Southern Ostrobothnia,Southern Savonia,Kainuu,Tavastia Proper,Central Ostrobothnia,Central Finland,Kymenlaakso,Lapland,Pirkanmaa,Ostrobothnia,North Karelia,Northern Ostrobothnia,Northern Savonia,Päijänne Tavastia,Satakunta,Uusimaa,Southwest Finland,Y-W
0.058088019470132445,0.04387862721476226,0.04826727631753924,0.03948220188773761,0.09735998524614757,0.03868205531004318,0.053302421363896686,0.07516356547510211,0.05493769487144949,0.0652197243875208,0.060430986493741574,0.05191037557155072,0.04062848471543119,0.04329519002564881,0.0776627536181082,0.0934349775592162,0.02047012591731998,0.07094389722543724,2020-21
0.04067033248190141,0.029684464121457366,0.033822240311802046,0.027293741307870385,0.06654500035303197,0.026092203513136274,0.03685225195954921,0.05297816579023718,0.03787623385707855,0.044245466688838726,0.04047673725140886,0.036212737831270006,0.028053961159366297,0.03008281666521537,0.0545717695671356,0.0579773310593703,0.010287440301075361,0.05208930246269913,2020-22
0.027805900453933177,0.022418957085272563,0.023712895082620162,0.03513394795701857,0.042074517877589604,0.02978956208763336,0.028006438060081653,0.03609899368496653,0.04995485435236649,0.030094461304111256,0.02633004654015008,0.026342692013898543,0.01683840474969195,0.02417834793153367,0.03747290107939137,0.027258899436711982,0.005292441708574159,0.04011281506504223,2020-23
0.010225861486137947,0.006798322332822533,0.00853291831179176,0.006650485032185973,0.01553853007171655,0.005930493057570983,0.008963372910858546,0.013527180061825359,0.00913879617470198,0.010171127014305222,0.008958560043462762,0.009025089213287105,0.006813231452554047,0.007427252662437366,0.01381796327305465,0.009451264733391532,0.0,0.014691234541461795,2020-24
0.00989762197219642,0.006579741477470225,0.008258796347290051,0.006436642185588832,0.0150410376339172,0.0057397347870963055,0.00867548238926037,0.013093663561495522,0.008845296195047448,0.00984463578548308,0.008670823434934355,0.008735225099045264,0.00659417281537157,0.007188522917758136,0.013375189991547352,0.00914777539784104,0.0,0.014220677237253235,2020-25
0.014797474183430793,0.013125779361089126,0.01208986908187925,0.010550759152422292,0.029433093061208178,0.011662876842804136,0.014469034097834307,0.018811577330480955,0.015162956156245907,0.01971475992365779,0.01924968144713227,0.013398208065596974,0.010938324864254478,0.011305638479755742,0.01985034655932885,0.04038528451048935,0.013207374733730024,0.013278897834888947,2020-26
0.007267819948682771,0.004829372508003543,0.006063111279222993,0.0047242511797543985,0.011052162979293633,0.0042123572116823105,0.006369369625676745,0.00961874917620724,0.006494190069902658,0.007228861365525882,0.0063659451732052735,0.006413282444187737,0.0048399740497755105,0.00527663047246783,0.009825928246774246,0.006716539191993072,0.0,0.010448226214013803,2020-27
0.027330629619620142,0.017797714505396616,0.029405171605647425,0.03566524782612816,0.04469285901895621,0.02678590033943998,0.028443785900628207,0.04822146756828409,0.04842881191217283,0.026124415795732315,0.013265703845574048,0.022509786110572045,0.009930825213715064,0.021838842296210206,0.0065708562376961405,0.019719883552472218,0.0322997316284502,0.02295964929376074,2020-28
0.009708260639307844,0.008283752205246598,0.007954232219271194,0.006825866518053188,0.018664609210154857,0.007343057162637055,0.00934384527933478,0.012424842464364665,0.009756530665611565,0.012449175436765788,0.012015536879434232,0.008754876865436058,0.0070653281594599045,0.007358214430042523,0.013047483298449802,0.02396739476139663,0.007358954876902065,0.009502885602119301,2020-29
0.01577706043958744,0.013777102477361323,0.012908867282057151,0.011189518057048422,0.030903528772223455,0.012231664481984412,0.015327471455786423,0.020104156219435586,0.016037656680774528,0.020684301820431877,0.020103565860922924,0.014263505932723556,0.011592509743401187,0.012018715984730444,0.021169514843716982,0.041267496044321596,0.013207374733730024,0.014691234541461795,2020-30
0.022040337713605477,0.028667383788592793,0.01822184932458538,0.016382196606668866,0.04127615298614524,0.01729881659744853,0.022960394231361893,0.027783358478126467,0.022843348856924885,0.04121504041618336,0.02617935764939707,0.019906625818352335,0.016852973377929202,0.017169560778721425,0.029033519346543617,0.029633646540939227,0.017639455275004472,0.05679900426163819,2020-31
0.04340937231583694,0.03580146157781208,0.03578032447346568,0.030298769412393158,0.07946255287622143,0.0317191456869769,0.041202125086492854,0.055599398832393156,0.042840681994088026,0.053405791774032714,0.050997917586803505,0.039075010749780266,0.03130002548511264,0.03281070937631307,0.05806101765972777,0.09432373552269664,0.02768050964939786,0.04572460231493997,2020-32
0.046980902625793845,0.09314860939257812,0.03903448390782854,0.036334180511026694,0.08238423596613843,0.10099917181131868,0.04844424834228999,0.05987603768776126,0.04995997539774665,0.06221931629134289,0.046673712607957746,0.042880096312052224,0.03979730096307608,0.03715475542775557,0.06273635584368203,0.0929936021383088,0.03640972834215195,0.07007743346321381,2020-33
0.06285894365756427,0.06846105621772773,0.0692096361625371,0.052926651718850685,0.10306062524130598,0.056499726443428,0.04714553678552406,0.0763889479717866,0.06530494777381868,0.07699512980951484,0.06223731900965241,0.06106889438838411,0.0511239258220744,0.06432802680041019,0.0850546396609084,0.1074482273601224,0.0466552488046216,0.07100394964607167,2020-34
0.10982346275511677,0.1259356012973631,0.12203348948668345,0.042413043967995855,0.14123515869004993,0.14581623411342315,0.12920692610040693,0.11853217510712685,0.20139997714537244,0.1375770135715472,0.09351284353298467,0.22753572129047767,0.28850149334831904,0.25742704515089193,0.13538433587960216,0.13526631221271546,0.11109181289317926,0.10764814012179076,2020-35
