date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Y-W,province
2021-10-11,-3.2857142857142856,5.142857142857143,14.428571428571429,-44.142857142857146,-12.428571428571429,3.2857142857142856,2021-41,South Karelia
2021-10-18,-3.4285714285714284,5.285714285714286,9.142857142857142,-42.57142857142857,-16.142857142857142,4.0,2021-42,South Karelia
2021-10-25,-4.571428571428571,4.285714285714286,10.285714285714286,-41.57142857142857,-22.285714285714285,3.0,2021-43,South Karelia
2021-11-01,-7.571428571428571,3.142857142857143,8.428571428571429,-46.285714285714285,-13.571428571428571,4.142857142857143,2021-44,South Karelia
2021-11-08,-6.0,2.4285714285714284,4.142857142857143,-45.142857142857146,-13.714285714285714,4.0,2021-45,South Karelia
2021-11-15,-4.142857142857143,2.857142857142857,3.5714285714285716,-46.0,-13.142857142857142,4.428571428571429,2021-46,South Karelia
2021-11-22,-7.0,2.2857142857142856,4.285714285714286,-49.57142857142857,-14.0,5.428571428571429,2021-47,South Karelia
2021-11-29,-13.285714285714286,2.857142857142857,3.4285714285714284,-48.285714285714285,-24.571428571428573,8.0,2021-48,South Karelia
2021-12-06,-7.714285714285714,5.571428571428571,10.0,-49.142857142857146,-12.857142857142858,6.285714285714286,2021-49,South Karelia
2021-12-13,0.0,13.714285714285714,4.428571428571429,-45.142857142857146,-13.571428571428571,5.857142857142857,2021-50,South Karelia
2021-12-20,-25.285714285714285,0.42857142857142855,3.2857142857142856,-48.57142857142857,-41.857142857142854,10.285714285714286,2021-51,South Karelia
2021-12-27,-16.0,7.0,0.0,-49.75,-44.5,12.5,2021-52,South Karelia
2020-12-28,-32.0,-21.75,21.0,-32.0,-36.25,12.0,2020-53,Southern Ostrobothnia
2021-01-04,-23.0,-12.714285714285714,7.571428571428571,-26.0,-23.571428571428573,10.0,2021-1,Southern Ostrobothnia
2021-01-11,-24.714285714285715,-13.0,12.857142857142858,-23.571428571428573,-10.428571428571429,6.857142857142857,2021-2,Southern Ostrobothnia
2021-01-18,-24.428571428571427,-13.142857142857142,5.285714285714286,-22.428571428571427,-10.571428571428571,6.714285714285714,2021-3,Southern Ostrobothnia
2021-01-25,-23.428571428571427,-10.285714285714286,9.0,-23.0,-8.857142857142858,5.714285714285714,2021-4,Southern Ostrobothnia
2021-02-01,-22.571428571428573,-8.428571428571429,12.285714285714286,-25.285714285714285,-9.0,6.714285714285714,2021-5,Southern Ostrobothnia
2021-02-08,-19.0,-5.285714285714286,16.285714285714285,-21.285714285714285,-9.428571428571429,5.857142857142857,2021-6,Southern Ostrobothnia
2021-02-15,-19.714285714285715,-4.714285714285714,5.285714285714286,-19.285714285714285,-9.285714285714286,7.0,2021-7,Southern Ostrobothnia
2021-02-22,-15.0,0.14285714285714285,14.0,-21.428571428571427,-15.571428571428571,6.142857142857143,2021-8,Southern Ostrobothnia
2021-03-01,-17.142857142857142,-0.42857142857142855,-0.5714285714285714,-30.428571428571427,-32.857142857142854,8.285714285714286,2021-9,Southern Ostrobothnia
2021-03-08,-29.571428571428573,-1.8571428571428572,6.285714285714286,-29.285714285714285,-14.142857142857142,7.857142857142857,2021-10,Southern Ostrobothnia
2021-03-15,-29.142857142857142,-1.0,2.7142857142857144,-24.571428571428573,-12.428571428571429,6.857142857142857,2021-11,Southern Ostrobothnia
2021-03-22,-24.714285714285715,2.7142857142857144,6.714285714285714,-19.428571428571427,-11.285714285714286,5.857142857142857,2021-12,Southern Ostrobothnia
2021-03-29,-16.285714285714285,10.0,10.714285714285714,-12.428571428571429,-33.714285714285715,8.0,2021-13,Southern Ostrobothnia
2021-04-05,-10.571428571428571,4.571428571428571,11.0,-12.428571428571429,-8.428571428571429,5.428571428571429,2021-14,Southern Ostrobothnia
2021-04-12,-4.714285714285714,9.571428571428571,11.571428571428571,-3.7142857142857144,-6.285714285714286,2.857142857142857,2021-15,Southern Ostrobothnia
2021-04-19,-7.142857142857143,8.142857142857142,3.4285714285714284,-6.142857142857143,-6.428571428571429,4.857142857142857,2021-16,Southern Ostrobothnia
2021-04-26,-6.714285714285714,7.0,9.571428571428571,-5.857142857142857,-9.571428571428571,3.5714285714285716,2021-17,Southern Ostrobothnia
2021-05-03,0.8571428571428571,12.285714285714286,12.142857142857142,-0.14285714285714285,-5.428571428571429,2.5714285714285716,2021-18,Southern Ostrobothnia
2021-05-10,4.714285714285714,18.857142857142858,0.0,10.142857142857142,-22.428571428571427,2.2857142857142856,2021-19,Southern Ostrobothnia
2021-05-17,2.0,12.142857142857142,14.857142857142858,-7.571428571428571,-6.285714285714286,2.857142857142857,2021-20,Southern Ostrobothnia
2021-05-24,9.0,18.571428571428573,0.0,4.285714285714286,-8.0,1.2857142857142858,2021-21,Southern Ostrobothnia
2021-05-31,20.714285714285715,29.857142857142858,0.0,12.714285714285714,-5.857142857142857,-0.2857142857142857,2021-22,Southern Ostrobothnia
2021-06-07,24.0,27.571428571428573,0.0,9.714285714285714,-26.0,1.0,2021-23,Southern Ostrobothnia
2021-06-14,25.428571428571427,30.857142857142858,0.0,16.142857142857142,-26.428571428571427,0.2857142857142857,2021-24,Southern Ostrobothnia
2021-06-21,13.714285714285714,34.57142857142857,0.0,11.285714285714286,-41.857142857142854,-0.14285714285714285,2021-25,Southern Ostrobothnia
2021-06-28,32.857142857142854,42.285714285714285,0.0,13.142857142857142,-31.714285714285715,-0.14285714285714285,2021-26,Southern Ostrobothnia
